run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9948995051004949,0.0099999999999998,0.0051004948995049,0.9802,0.9898510402974297,0.5100494899505034,1,False,0.98,0.9897990102009898
M1_N2_dephase_z_iid_p_p0.10000,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9395604395604396,0.0999999999999999,0.0604395604395602,0.8199999999999998,0.8864267600531339,0.6043956043956032,1,False,0.7999999999999999,0.8791208791208792
M1_N2_dephase_z_iid_p_p0.20000,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.857142857142857,0.1999999999999999,0.1428571428571426,0.6799999999999998,0.7551020408163267,0.7142857142857137,1,False,0.6,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.30000,1,2,dephase_z,iid_p,0.3,0.3,0.7,0.7531645569620253,0.2999999999999998,0.2468354430379745,0.5800000000000001,0.6281845858035572,0.8227848101265823,1,False,0.4000000000000001,0.5063291139240507
M1_N2_dephase_z_iid_p_p0.40000,1,2,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.6315789473684209,0.3999999999999998,0.3684210526315788,0.52,0.5346260387811634,0.9210526315789472,1,False,0.2,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999998,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,1,False,2.220446049250313e-16,3.3306690738754696e-16
M1_N2_dephase_z_iid_p_p0.60000,1,2,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.3684210526315788,0.5999999999999999,0.631578947368421,0.52,0.5346260387811634,1.0526315789473686,1,False,0.2,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.70000,1,2,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.2468354430379747,0.6999999999999998,0.7531645569620251,0.5800000000000002,0.6281845858035568,1.0759493670886076,1,False,0.3999999999999999,0.5063291139240503
M1_N2_dephase_z_iid_p_p0.80000,1,2,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.1428571428571428,0.7999999999999998,0.8571428571428571,0.6799999999999998,0.7551020408163267,1.0714285714285716,1,False,0.6,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.90000,1,2,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0604395604395604,0.8999999999999999,0.9395604395604396,0.8199999999999998,0.8864267600531339,1.043956043956044,1,False,0.7999999999999999,0.8791208791208792
M1_N4_dephase_z_iid_p_p0.01000,1,4,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.997423671499069,0.0099999999999998,0.0025763285009306,0.9802,0.994860617935228,0.2576328500930673,2,False,0.98,0.9948473429981384
M1_N4_dephase_z_iid_p_p0.10000,1,4,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9660243894632397,0.0999999999999999,0.0339756105367601,0.8199999999999998,0.9343574631491708,0.3397561053676015,2,False,0.7999999999999999,0.9320487789264796
M1_N4_dephase_z_iid_p_p0.20000,1,4,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9069767441860463,0.1999999999999999,0.0930232558139532,0.6799999999999998,0.8312601406165496,0.4651162790697665,2,False,0.6,0.8139534883720932
M1_N4_dephase_z_iid_p_p0.30000,1,4,dephase_z,iid_p,0.3,0.3,0.7,0.8109777099837623,0.2999999999999998,0.1890222900162376,0.5800000000000001,0.69341427221349,0.6300743000541257,2,False,0.4000000000000001,0.6219554199675246
M1_N4_dephase_z_iid_p_p0.40000,1,4,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.671480144404332,0.3999999999999998,0.3285198555956677,0.52,0.5588108798498612,0.8212996389891697,2,False,0.2,0.3429602888086643
M1_N4_dephase_z_iid_p_p0.50000,1,4,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5,1.0,2,False,2.220446049250313e-16,3.885780586188048e-16
M1_N4_dephase_z_iid_p_p0.60000,1,4,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.3285198555956677,0.5999999999999999,0.671480144404332,0.52,0.5588108798498612,1.1191335740072204,2,False,0.2,0.3429602888086643
M1_N4_dephase_z_iid_p_p0.70000,1,4,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.1890222900162378,0.6999999999999998,0.8109777099837621,0.5800000000000002,0.6934142722134897,1.158539585691089,2,False,0.3999999999999999,0.6219554199675242
M1_N4_dephase_z_iid_p_p0.80000,1,4,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0930232558139533,0.7999999999999998,0.9069767441860466,0.6799999999999998,0.8312601406165496,1.1337209302325584,2,False,0.6,0.8139534883720932
M1_N4_dephase_z_iid_p_p0.90000,1,4,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0339756105367602,0.8999999999999999,0.9660243894632397,0.8199999999999998,0.9343574631491708,1.073360432736933,2,False,0.7999999999999999,0.9320487789264796
M1_N8_dephase_z_iid_p_p0.01000,1,8,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9987051897529816,0.0099999999999998,0.0012948102470181,0.9802,0.9974137325731148,0.1294810247018121,3,False,0.98,0.9974103795059636
M1_N8_dephase_z_iid_p_p0.10000,1,8,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9818389551479724,0.0999999999999999,0.0181610448520271,0.8199999999999998,0.96433755739618,0.181610448520272,3,False,0.7999999999999999,0.9636779102959454
M1_N8_dephase_z_iid_p_p0.20000,1,8,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9444772593030124,0.1999999999999999,0.0555227406969874,0.6799999999999998,0.8951200680750347,0.2776137034849372,3,False,0.6,0.8889545186060249
M1_N8_dephase_z_iid_p_p0.30000,1,8,dephase_z,iid_p,0.3,0.3,0.7,0.8672789524529967,0.2999999999999998,0.132721047547003,0.5800000000000001,0.7697876578299414,0.4424034918233437,3,False,0.4000000000000001,0.7345579049059937
M1_N8_dephase_z_iid_p_p0.40000,1,8,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.7200140461180875,0.3999999999999998,0.2799859538819121,0.52,0.5968123609785041,0.6999648847047806,3,False,0.2,0.4400280922361755
M1_N8_dephase_z_iid_p_p0.50000,1,8,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,3,False,2.220446049250313e-16,5.55111512312579e-16
M1_N8_dephase_z_iid_p_p0.60000,1,8,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.2799859538819121,0.5999999999999999,0.7200140461180877,0.52,0.5968123609785041,1.2000234101968132,3,False,0.2,0.4400280922361755
M1_N8_dephase_z_iid_p_p0.70000,1,8,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.1327210475470033,0.6999999999999998,0.8672789524529966,0.5800000000000002,0.7697876578299412,1.2389699320757095,3,False,0.3999999999999999,0.7345579049059934
M1_N8_dephase_z_iid_p_p0.80000,1,8,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0555227406969874,0.7999999999999998,0.9444772593030124,0.6799999999999998,0.8951200680750347,1.1805965741287658,3,False,0.6,0.8889545186060249
M1_N8_dephase_z_iid_p_p0.90000,1,8,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0181610448520272,0.8999999999999999,0.9818389551479726,0.8199999999999998,0.96433755739618,1.0909321723866363,3,False,0.7999999999999999,0.9636779102959454
M1_N16_dephase_z_iid_p_p0.01000,1,16,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9993509172589276,0.0099999999999998,0.0006490827410721,0.9802,0.9987026771346652,0.0649082741072122,4,False,0.98,0.9987018345178555
M1_N16_dephase_z_iid_p_p0.10000,1,16,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9905867154387378,0.0999999999999999,0.0094132845612618,0.8199999999999998,0.9813506507299388,0.0941328456126189,4,False,0.7999999999999999,0.981173430877476
M1_N16_dephase_z_iid_p_p0.20000,1,16,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9690755660188743,0.1999999999999999,0.0309244339811254,0.6799999999999998,0.9400637732718548,0.1546221699056272,4,False,0.6,0.9381511320377488
M1_N16_dephase_z_iid_p_p0.30000,1,16,dephase_z,iid_p,0.3,0.3,0.7,0.9150542589988934,0.2999999999999998,0.0849457410011063,0.5800000000000001,0.8445400758262412,0.2831524700036878,4,False,0.4000000000000001,0.8301085179977872
M1_N16_dephase_z_iid_p_p0.40000,1,16,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.7755665618510947,0.3999999999999998,0.2244334381489051,0.52,0.6518738600208666,0.561083595372263,4,False,0.2,0.5511331237021895
M1_N16_dephase_z_iid_p_p0.50000,1,16,dephase_z,iid_p,0.5,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5000000000000001,1.0,4,False,2.220446049250313e-16,7.77156117237611e-16
M1_N16_dephase_z_iid_p_p0.60000,1,16,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.2244334381489053,0.5999999999999999,0.7755665618510946,0.52,0.6518738600208666,1.2926109364184912,4,False,0.2,0.5511331237021895
M1_N16_dephase_z_iid_p_p0.70000,1,16,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0849457410011064,0.6999999999999998,0.9150542589988934,0.5800000000000002,0.844540075826241,1.3072203699984193,4,False,0.3999999999999999,0.830108517997787
M1_N16_dephase_z_iid_p_p0.80000,1,16,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0309244339811255,0.7999999999999998,0.9690755660188743,0.6799999999999998,0.9400637732718548,1.2113444575235932,4,False,0.6,0.9381511320377488
M1_N16_dephase_z_iid_p_p0.90000,1,16,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0094132845612621,0.8999999999999999,0.990586715438738,0.8199999999999998,0.9813506507299388,1.1006519060430422,4,False,0.7999999999999999,0.981173430877476
M1_N32_dephase_z_iid_p_p0.01000,1,32,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.999675037184416,0.0099999999999998,0.0003249628155839,0.9802,0.9993502855704952,0.0324962815583921,5,False,0.98,0.999350074368832
M1_N32_dephase_z_iid_p_p0.10000,1,32,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9952043347380264,0.0999999999999999,0.004795665261973,0.8199999999999998,0.9904546662866632,0.0479566526197306,5,False,0.7999999999999999,0.9904086694760535
M1_N32_dephase_z_iid_p_p0.20000,1,32,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9835671615348948,0.1999999999999999,0.0164328384651049,0.6799999999999998,0.9676743994298302,0.0821641923255248,5,False,0.6,0.96713432306979
M1_N32_dephase_z_iid_p_p0.30000,1,32,dephase_z,iid_p,0.3,0.3,0.7,0.9500355014655611,0.2999999999999998,0.0499644985344385,0.5800000000000001,0.9050639051587188,0.1665483284481285,5,False,0.4000000000000001,0.9000710029311227
M1_N32_dephase_z_iid_p_p0.40000,1,32,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.8336411677918478,0.3999999999999998,0.1663588322081519,0.52,0.7226328576910162,0.41589708052038,5,False,0.2,0.6672823355836959
M1_N32_dephase_z_iid_p_p0.50000,1,32,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,5,False,2.220446049250313e-16,9.992007221626409e-16
M1_N32_dephase_z_iid_p_p0.60000,1,32,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.1663588322081521,0.5999999999999999,0.8336411677918478,0.52,0.7226328576910162,1.389401946319747,5,False,0.2,0.6672823355836959
M1_N32_dephase_z_iid_p_p0.70000,1,32,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0499644985344386,0.6999999999999998,0.9500355014655611,0.5800000000000002,0.9050639051587184,1.3571935735222305,5,False,0.3999999999999999,0.9000710029311225
M1_N32_dephase_z_iid_p_p0.80000,1,32,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.016432838465105,0.7999999999999998,0.9835671615348948,0.6799999999999998,0.9676743994298302,1.2294589519186188,5,False,0.6,0.96713432306979
M1_N32_dephase_z_iid_p_p0.90000,1,32,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.004795665261973,0.8999999999999999,0.9952043347380268,0.8199999999999998,0.9904546662866632,1.1057825941533632,5,False,0.7999999999999999,0.9904086694760535
M1_N64_dephase_z_iid_p_p0.01000,1,64,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9998374129742238,0.0099999999999998,0.0001625870257759,0.9802,0.9996748788175298,0.0162587025775985,6,False,0.98,0.9996748259484478
M1_N64_dephase_z_iid_p_p0.10000,1,64,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9975791140843876,0.0999999999999999,0.0024208859156121,0.8199999999999998,0.9951699495460082,0.0242088591561212,6,False,0.7999999999999999,0.9951582281687756
M1_N64_dephase_z_iid_p_p0.20000,1,64,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9915113615088118,0.1999999999999999,0.0084886384911878,0.6799999999999998,0.983166836984492,0.0424431924559393,6,False,0.6,0.983022723017624
M1_N64_dephase_z_iid_p_p0.30000,1,64,dephase_z,iid_p,0.3,0.3,0.7,0.97246236753204,0.2999999999999998,0.0275376324679595,0.5800000000000001,0.9464413774679612,0.091792108226532,6,False,0.4000000000000001,0.9449247350640806
M1_N64_dephase_z_iid_p_p0.40000,1,64,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.8873618993185282,0.3999999999999998,0.1126381006814716,0.52,0.8000984820873153,0.2815952517036791,6,False,0.2,0.7747237986370565
M1_N64_dephase_z_iid_p_p0.50000,1,64,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5,1.0,6,False,2.220446049250313e-16,1.27675647831893e-15
M1_N64_dephase_z_iid_p_p0.60000,1,64,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.1126381006814717,0.5999999999999999,0.8873618993185282,0.52,0.8000984820873153,1.478936498864214,6,False,0.2,0.7747237986370565
M1_N64_dephase_z_iid_p_p0.70000,1,64,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0275376324679596,0.6999999999999998,0.9724623675320404,0.5800000000000002,0.9464413774679614,1.3892319536172006,6,False,0.3999999999999999,0.9449247350640808
M1_N64_dephase_z_iid_p_p0.80000,1,64,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0084886384911879,0.7999999999999998,0.991511361508812,0.6799999999999998,0.983166836984492,1.239389201886015,6,False,0.6,0.983022723017624
M1_N64_dephase_z_iid_p_p0.90000,1,64,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0024208859156121,0.8999999999999999,0.9975791140843876,0.8199999999999998,0.9951699495460082,1.108421237871542,6,False,0.7999999999999999,0.9951582281687756
M1_N128_dephase_z_iid_p_p0.01000,1,128,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9999186800504224,0.0099999999999998,8.131994957749633e-05,0.9802,0.9998373733267132,0.0081319949577497,7,False,0.98,0.9998373601008448
M1_N128_dephase_z_iid_p_p0.10000,1,128,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9987836892768048,0.0999999999999999,0.0012163107231945,0.8199999999999998,0.9975703373771612,0.0121631072319455,7,False,0.7999999999999999,0.9975673785536108
M1_N128_dephase_z_iid_p_p0.20000,1,128,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.995683320578495,0.1999999999999999,0.0043166794215048,0.6799999999999998,0.9914039085994462,0.0215833971075241,7,False,0.6,0.99136664115699
M1_N128_dephase_z_iid_p_p0.30000,1,128,dephase_z,iid_p,0.3,0.3,0.7,0.985462724951568,0.2999999999999998,0.0145372750484316,0.5800000000000001,0.971348114634804,0.0484575834947722,7,False,0.4000000000000001,0.9709254499031365
M1_N128_dephase_z_iid_p_p0.40000,1,128,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.9303785633654444,0.3999999999999998,0.0696214366345552,0.52,0.8704514156090081,0.1740535915863881,7,False,0.2,0.8607571267308893
M1_N128_dephase_z_iid_p_p0.50000,1,128,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,7,False,2.220446049250313e-16,1.6653345369377348e-15
M1_N128_dephase_z_iid_p_p0.60000,1,128,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.0696214366345552,0.5999999999999999,0.9303785633654446,0.52,0.8704514156090081,1.550630938942408,7,False,0.2,0.8607571267308893
M1_N128_dephase_z_iid_p_p0.70000,1,128,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0145372750484316,0.6999999999999998,0.9854627249515682,0.5800000000000002,0.971348114634804,1.4078038927879548,7,False,0.3999999999999999,0.9709254499031366
M1_N128_dephase_z_iid_p_p0.80000,1,128,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0043166794215049,0.7999999999999998,0.995683320578495,0.6799999999999998,0.9914039085994462,1.244604150723119,7,False,0.6,0.99136664115699
M1_N128_dephase_z_iid_p_p0.90000,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0012163107231945,0.8999999999999999,0.9987836892768052,0.8199999999999998,0.9975703373771612,1.109759654752006,7,False,0.7999999999999999,0.9975673785536108
