run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9900999999999992,0,False,0.9948995051004949,0.0051004948995049,0.9898510402974297,0.9897990102009898,1,1,0.9999999999999996,0.9899999999999995,0.0051004948995049,0.01,0.9898510402974297,0.9801999999999996
M1_N2_dephase_z_iid_p_p0.10000,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.909999999999999,0,False,0.9395604395604392,0.0604395604395603,0.8864267600531336,0.879120879120879,1,1,0.9999999999999996,0.8999999999999996,0.0604395604395603,0.1,0.8864267600531336,0.8199999999999994
M1_N2_dephase_z_iid_p_p0.20000,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.8399999999999991,0,False,0.857142857142857,0.1428571428571427,0.7551020408163265,0.7142857142857143,1,1,0.9999999999999996,0.7999999999999996,0.1428571428571427,0.2,0.7551020408163265,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.30000,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.7899999999999994,0,False,0.7531645569620251,0.2468354430379746,0.628184585803557,0.5063291139240506,1,1,0.9999999999999996,0.6999999999999998,0.2468354430379746,0.2999999999999999,0.628184585803557,0.5799999999999997
M1_N2_dephase_z_iid_p_p0.40000,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,0.7599999999999993,0,False,0.6315789473684208,0.3684210526315788,0.5346260387811634,0.263157894736842,1,1,0.9999999999999996,0.5999999999999998,0.3684210526315788,0.3999999999999999,0.5346260387811634,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.50000,0,1,1,2,2,dephase_z,iid_p,0.5,0.5,0.7499999999999997,0,False,0.4999999999999999,0.4999999999999999,0.5,0.0,1,1,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N2_dephase_z_iid_p_p0.60000,0,1,1,2,2,dephase_z,iid_p,0.6,0.6,0.7599999999999993,0,False,0.368421052631579,0.6315789473684209,0.5346260387811634,0.263157894736842,1,1,0.9999999999999996,0.3999999999999998,0.6315789473684209,0.5999999999999999,0.5346260387811634,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.70000,0,1,1,2,2,dephase_z,iid_p,0.7,0.7,0.7899999999999994,0,False,0.2468354430379747,0.7531645569620251,0.6281845858035571,0.5063291139240504,1,1,0.9999999999999996,0.3,0.7531645569620251,0.6999999999999997,0.6281845858035571,0.5799999999999998
M1_N2_dephase_z_iid_p_p0.80000,0,1,1,2,2,dephase_z,iid_p,0.8,0.8,0.839999999999999,0,False,0.1428571428571427,0.8571428571428572,0.7551020408163267,0.7142857142857145,1,1,0.9999999999999996,0.1999999999999998,0.8571428571428572,0.7999999999999998,0.7551020408163267,0.6799999999999995
M1_N2_dephase_z_iid_p_p0.90000,0,1,1,2,2,dephase_z,iid_p,0.9,0.9,0.909999999999999,0,False,0.0604395604395605,0.9395604395604392,0.8864267600531336,0.879120879120879,1,1,0.9999999999999996,0.0999999999999999,0.9395604395604392,0.8999999999999997,0.8864267600531336,0.8199999999999994
M1_N4_dephase_z_iid_p_p0.01000,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9900999999999992,0,False,0.9948995051004949,0.0051004948995049,0.9898510402974297,0.9897990102009898,1,1,0.9999999999999996,0.9899999999999995,0.0051004948995049,0.01,0.9898510402974297,0.9801999999999996
M1_N4_dephase_z_iid_p_p0.01000,1,1,2,4,4,dephase_z,iid_p,0.01,0.01,0.9852264695508252,0,False,0.9922741420250328,0.0077258579749669,0.9846676618129644,0.984548284050066,2,1,0.9948995051004949,0.9850015149984848,0.0077258579749669,0.0149984850015148,0.9846676618129644,0.9704529391016514
M1_N4_dephase_z_iid_p_p0.10000,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.909999999999999,0,False,0.9395604395604392,0.0604395604395603,0.8864267600531336,0.879120879120879,1,1,0.9999999999999996,0.8999999999999996,0.0604395604395603,0.1,0.8864267600531336,0.8199999999999994
M1_N4_dephase_z_iid_p_p0.10000,1,1,2,4,4,dephase_z,iid_p,0.1,0.1,0.8736565632170021,0,False,0.902501814160821,0.0974981858391788,0.8240154208055044,0.8050036283216421,2,1,0.9395604395604392,0.8516483516483514,0.0974981858391788,0.1483516483516483,0.8240154208055044,0.7473131264340054
M1_N4_dephase_z_iid_p_p0.20000,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.8399999999999991,0,False,0.857142857142857,0.1428571428571427,0.7551020408163265,0.7142857142857143,1,1,0.9999999999999996,0.7999999999999996,0.1428571428571427,0.2,0.7551020408163265,0.6799999999999995
M1_N4_dephase_z_iid_p_p0.20000,1,1,2,4,4,dephase_z,iid_p,0.2,0.2,0.7959183673469383,0,False,0.7692307692307689,0.2307692307692307,0.6449704142011832,0.5384615384615383,2,1,0.857142857142857,0.7142857142857141,0.2307692307692307,0.2857142857142856,0.6449704142011832,0.5918367346938774
M1_N4_dephase_z_iid_p_p0.30000,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.7899999999999994,0,False,0.7531645569620251,0.2468354430379746,0.628184585803557,0.5063291139240506,1,1,0.9999999999999996,0.6999999999999998,0.2468354430379746,0.2999999999999999,0.628184585803557,0.5799999999999997
M1_N4_dephase_z_iid_p_p0.30000,1,1,2,4,4,dephase_z,iid_p,0.3,0.3,0.7602547668642838,0,False,0.6331998524685178,0.366800147531482,0.5354844013952701,0.2663997049370357,2,1,0.7531645569620251,0.60126582278481,0.366800147531482,0.3987341772151898,0.5354844013952701,0.5205095337285689
M1_N4_dephase_z_iid_p_p0.40000,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,0.7599999999999993,0,False,0.6315789473684208,0.3684210526315788,0.5346260387811634,0.263157894736842,1,1,0.9999999999999996,0.5999999999999998,0.3684210526315788,0.3999999999999999,0.5346260387811634,0.5199999999999998
M1_N4_dephase_z_iid_p_p0.40000,1,1,2,4,4,dephase_z,iid_p,0.4,0.4,0.750692520775623,0,False,0.5350553505535054,0.4649446494464944,0.5024577552048584,0.070110701107011,2,1,0.6315789473684208,0.5263157894736841,0.4649446494464944,0.4736842105263157,0.5024577552048584,0.5013850415512465
M1_N4_dephase_z_iid_p_p0.50000,0,1,1,2,2,dephase_z,iid_p,0.5,0.5,0.7499999999999997,0,False,0.4999999999999999,0.4999999999999999,0.5,0.0,1,1,0.9999999999999996,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
M1_N4_dephase_z_iid_p_p0.50000,1,1,2,4,4,dephase_z,iid_p,0.5,0.5,0.75,0,False,0.4999999999999999,0.4999999999999999,0.5,0.0,2,1,0.4999999999999999,0.5,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000002
M1_N4_dephase_z_iid_p_p0.60000,0,1,1,2,2,dephase_z,iid_p,0.6,0.6,0.7599999999999993,0,False,0.368421052631579,0.6315789473684209,0.5346260387811634,0.263157894736842,1,1,0.9999999999999996,0.3999999999999998,0.6315789473684209,0.5999999999999999,0.5346260387811634,0.5199999999999998
M1_N4_dephase_z_iid_p_p0.60000,1,1,2,4,4,dephase_z,iid_p,0.6,0.6,0.750692520775623,0,False,0.5350553505535054,0.4649446494464944,0.5024577552048584,0.070110701107011,2,1,0.368421052631579,0.5263157894736841,0.4649446494464944,0.4736842105263157,0.5024577552048584,0.5013850415512465
M1_N4_dephase_z_iid_p_p0.70000,0,1,1,2,2,dephase_z,iid_p,0.7,0.7,0.7899999999999994,0,False,0.2468354430379747,0.7531645569620251,0.6281845858035571,0.5063291139240504,1,1,0.9999999999999996,0.3,0.7531645569620251,0.6999999999999997,0.6281845858035571,0.5799999999999998
M1_N4_dephase_z_iid_p_p0.70000,1,1,2,4,4,dephase_z,iid_p,0.7,0.7,0.7602547668642845,0,False,0.6331998524685176,0.3668001475314821,0.5354844013952698,0.2663997049370354,2,1,0.2468354430379747,0.60126582278481,0.3668001475314821,0.3987341772151898,0.5354844013952698,0.5205095337285693
M1_N4_dephase_z_iid_p_p0.80000,0,1,1,2,2,dephase_z,iid_p,0.8,0.8,0.839999999999999,0,False,0.1428571428571427,0.8571428571428572,0.7551020408163267,0.7142857142857145,1,1,0.9999999999999996,0.1999999999999998,0.8571428571428572,0.7999999999999998,0.7551020408163267,0.6799999999999995
